resume_id,resume_text,skills
0,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Flask、Redis、Hibernate、Hive、Kotlin、Docker、Linux进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",Flask、Redis、Hibernate、Hive、Kotlin、Docker、Linux
1,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用MyBatis、PyTorch、深度学习、Kubernetes、Vue、Django进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",MyBatis、PyTorch、深度学习、Kubernetes、Vue、Django
2,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用PyTorch、PHP、Hadoop、SpringCloud、机器学习、阿里云、TensorFlow、PostgreSQL进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",PyTorch、PHP、Hadoop、SpringCloud、机器学习、阿里云、TensorFlow、PostgreSQL
3,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Vue、Go、Keras、Kubernetes、Angular、MongoDB、MyBatis进行企业级项目开发，
优化数据库性能，提高系统并发能力。
拥有较强的问题分析能力。",Vue、Go、Keras、Kubernetes、Angular、MongoDB、MyBatis
4,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Flink、SpringBoot、Flask、Spark、Hadoop、机器学习完成系统搭建，
实现高可用分布式架构设计。
拥有较强的问题分析能力。",Flink、SpringBoot、Flask、Spark、Hadoop、机器学习
5,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握TypeScript、MyBatis、大模型、PostgreSQL、AWS、Django、Java、PHP，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",TypeScript、MyBatis、大模型、PostgreSQL、AWS、Django、Java、PHP
6,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Django、Spring、Redis、AWS、SQLite、Vue、MongoDB、Rust，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",Django、Spring、Redis、AWS、SQLite、Vue、MongoDB、Rust
7,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用MyBatis、NLP、Hive、Kotlin、大模型、PyTorch完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",MyBatis、NLP、Hive、Kotlin、大模型、PyTorch
8,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用C、腾讯云、Hibernate、PyTorch、Flink完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",C、腾讯云、Hibernate、PyTorch、Flink
9,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Rust、PHP、Hadoop、Linux、Django、MySQL完成系统搭建，
实现高可用分布式架构设计。
具备良好的团队合作能力。",Rust、PHP、Hadoop、Linux、Django、MySQL
10,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Angular、TensorFlow、计算机视觉、深度学习、Redis、React、机器学习，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",Angular、TensorFlow、计算机视觉、深度学习、Redis、React、机器学习
11,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用MySQL、React、Django、Hibernate、Redis完成系统搭建，
实现高可用分布式架构设计。
拥有较强的问题分析能力。",MySQL、React、Django、Hibernate、Redis
12,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Keras、大模型、Kotlin、Oracle、C++、PHP进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Keras、大模型、Kotlin、Oracle、C++、PHP
13,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Go、PHP、Flask、SQLite、Django、Angular、C完成系统搭建，
实现高可用分布式架构设计。
具备良好的团队合作能力。",Go、PHP、Flask、SQLite、Django、Angular、C
