skill_name,category,aliases,versions
Python,编程语言,python3|py3|python 2,Python 2.7|Python 3.6|Python 3.7|Python 3.8|Python 3.9|Python 3.10|Python 3.11|Python 3.12
Java,编程语言,,Java 8|Java 11|Java 17|Java 21|Java SE
JavaScript,编程语言,javascript|js,
TypeScript,编程语言,typescript|ts,
C,编程语言,,
C++,编程语言,cpp|cplusplus,
C#,编程语言,csharp|dotnet,
Go,编程语言,golang,Go 1.16|Go 1.17|Go 1.18|Go 1.19|Go 1.20|Go 1.21
Rust,编程语言,,
Kotlin,编程语言,,
Swift,编程语言,,
PHP,编程语言,,
Ruby,编程语言,,
Scala,编程语言,,
R,编程语言,,
MATLAB,编程语言,,
SQL,编程语言,,
PL/SQL,编程语言,,
Shell,编程语言,,
Bash,编程语言,,
PowerShell,编程语言,,
Perl,编程语言,,
Lua,编程语言,,
Haskell,编程语言,,
Elixir,编程语言,,
Dart,编程语言,,
Objective-C,编程语言,,
Verilog,编程语言,,
VHDL,编程语言,,
Solidity,编程语言,,
机器学习,人工智能与大模型,machine learning,
深度学习,人工智能与大模型,deep learning,
自然语言处理,人工智能与大模型,nlp,
计算机视觉,人工智能与大模型,cv,
强化学习,人工智能与大模型,,
大语言模型,人工智能与大模型,,
LLM,人工智能与大模型,,
LangChain,人工智能与大模型,,
RAG,人工智能与大模型,,
Prompt Engineering,人工智能与大模型,,
PyTorch,人工智能与大模型,pytorch,
TensorFlow,人工智能与大模型,tensorflow|tf,
Keras,人工智能与大模型,,
Scikit-learn,人工智能与大模型,,
Hugging Face,人工智能与大模型,,
Stable Diffusion,人工智能与大模型,,
Transformer,人工智能与大模型,,
BERT,人工智能与大模型,,
GPT,人工智能与大模型,,
React,前端框架,react.js|reactjs,React 15|React 16|React 17|React 18
Vue,前端框架,vue.js|vuejs,Vue 2|Vue 3|Vue.js 2|Vue.js 3
Angular,前端框架,angular.js|angularjs,AngularJS|Angular 2|Angular 4|Angular 6|Angular 8|Angular 10|Angular 12|Angular 14|Angular 16|Angular 17
Svelte,前端框架,,
